match_link,match_datetime,edition,phase_label,phase_type,home_team,score,away_team,winner_team,winner_home_away,aet,location,attendance_number,referee_name,referee_country,is_wo,home_score,away_score
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061458/,2010-06-17 13:30:00,2010,Group B,groups,Argentina,4–1,South Korea,Argentina,home,False,"Soccer City, Johannesburg",82174,Frank De Bleeckere ,Belgium,False,4,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061457/,2010-06-17 16:00:00,2010,Group B,groups,Greece,2–1,Nigeria,Greece,home,False,"Free State Stadium, Bloemfontein",31593,Óscar Ruiz ,Colombia,False,2,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300111115/,2010-06-22 20:30:00,2010,Group B,groups,Nigeria,2–2,South Korea,,,False,"Moses Mabhida Stadium, Durban",61874,Olegário Benquerença ,Portugal,False,2,2
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061455/,2010-06-22 20:30:00,2010,Group B,groups,Greece,0–2,Argentina,Argentina,away,False,"Peter Mokaba Stadium, Polokwane",38891,Ravshan Irmatov ,Uzbekistan,False,0,2
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061466/,2010-06-12 20:30:00,2010,Group C,groups,England,1–1,United States,,,False,"Royal Bafokeng Stadium, Rustenburg",38646,Carlos Simon ,Brazil,False,1,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061465/,2010-06-13 13:30:00,2010,Group C,groups,Algeria,0–1,Slovenia,Slovenia,away,False,"Peter Mokaba Stadium, Polokwane",30325,Carlos Batres ,Guatemala,False,0,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061463/,2010-06-18 16:00:00,2010,Group C,groups,Slovenia,2–2,United States,,,False,"Ellis Park Stadium, Johannesburg",45573,Koman Coulibaly ,Mali,False,2,2
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061464/,2010-06-18 20:30:00,2010,Group C,groups,England,0–0,Algeria,,,False,"Cape Town Stadium, Cape Town",64100,Ravshan Irmatov ,Uzbekistan,False,0,0
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061462/,2010-06-23 16:00:00,2010,Group C,groups,Slovenia,0–1,England,England,away,False,"Nelson Mandela Bay Stadium, Port Elizabeth",36893,Wolfgang Stark ,Germany,False,0,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061461/,2010-06-23 16:00:00,2010,Group C,groups,United States,1–0,Algeria,United States,home,False,"Loftus Versfeld Stadium, Pretoria",35827,Frank De Bleeckere ,Belgium,False,1,0
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061471/,2010-06-13 16:00:00,2010,Group D,groups,Serbia,0–1,Ghana,Ghana,away,False,"Loftus Versfeld Stadium, Pretoria",38833,Héctor Baldassi ,Argentina,False,0,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300111116/,2010-06-13 20:30:00,2010,Group D,groups,Germany,4–0,Australia,Germany,home,False,"Moses Mabhida Stadium, Durban",62660,Marco Rodríguez ,Mexico,False,4,0
https://web.archive.org/web/20200630080330/https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061470/,2010-06-18 13:30:00,2010,Group D,groups,Germany,0–1,Serbia,Serbia,away,False,"Nelson Mandela Bay Stadium, Port Elizabeth",38294,Alberto Undiano Mallenco ,Spain,False,0,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061469/,2010-06-19 16:00:00,2010,Group D,groups,Ghana,1–1,Australia,,,False,"Royal Bafokeng Stadium, Rustenburg",34812,Roberto Rosetti ,Italy,False,1,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061468/,2010-06-23 20:30:00,2010,Group D,groups,Ghana,0–1,Germany,Germany,away,False,"Soccer City, Johannesburg",83391,Carlos Simon ,Brazil,False,0,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061467/,2010-06-23 20:30:00,2010,Group D,groups,Australia,2–1,Serbia,Australia,home,False,"Mbombela Stadium, Nelspruit",37836,Jorge Larrionda ,Uruguay,False,2,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061478/,2010-06-14 13:30:00,2010,Group E,groups,Netherlands,2–0,Denmark,Netherlands,home,False,"Soccer City, Johannesburg",83465,Stéphane Lannoy ,France,False,2,0
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061477/,2010-06-14 16:00:00,2010,Group E,groups,Japan,1–0,Cameroon,Japan,home,False,"Free State Stadium, Bloemfontein",30620,Olegário Benquerença ,Portugal,False,1,0
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300111117/,2010-06-19 13:30:00,2010,Group E,groups,Netherlands,1–0,Japan,Netherlands,home,False,"Moses Mabhida Stadium, Durban",62010,Héctor Baldassi ,Argentina,False,1,0
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061475/,2010-06-19 20:30:00,2010,Group E,groups,Cameroon,1–2,Denmark,Denmark,away,False,"Loftus Versfeld Stadium, Pretoria",38074,Jorge Larrionda ,Uruguay,False,1,2
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061474/,2010-06-24 20:30:00,2010,Group E,groups,Denmark,1–3,Japan,Japan,away,False,"Royal Bafokeng Stadium, Rustenburg",27967,Jerome Damon ,South Africa,False,1,3
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061473/,2010-06-24 20:30:00,2010,Group E,groups,Cameroon,1–2,Netherlands,Netherlands,away,False,"Cape Town Stadium, Cape Town",63093,Pablo Pozo ,Chile,False,1,2
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061484/,2010-06-14 20:30:00,2010,Group F,groups,Italy,1–1,Paraguay,,,False,"Cape Town Stadium, Cape Town",62869,Benito Archundia ,Mexico,False,1,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061483/,2010-06-15 13:30:00,2010,Group F,groups,New Zealand,1–1,Slovakia,,,False,"Royal Bafokeng Stadium, Rustenburg",23871,Jerome Damon ,South Africa,False,1,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061481/,2010-06-20 13:30:00,2010,Group F,groups,Slovakia,0–2,Paraguay,Paraguay,away,False,"Free State Stadium, Bloemfontein",26643,Eddy Maillet ,Seychelles,False,0,2
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061482/,2010-06-20 16:00:00,2010,Group F,groups,Italy,1–1,New Zealand,,,False,"Mbombela Stadium, Nelspruit",38229,Carlos Batres ,Guatemala,False,1,1
https://www.fifa.com/worldcup/archive/southafrica2010/matches/match/300061480/,2010-06-24 16:00:00,2010,Group F,groups,Slovakia,3–2,Italy,Slovakia,home,False,"Ellis Park Stadium, Johannesburg",53412,Howard Webb ,England,False,3,2
